Snapdeal_Name,Snapdeal_Synonyms,Snapdeal_SalesPrice,Snapdeal_OriginalPrice,Snapdeal_Rating,Snapdeal_ProductLink,Snapdeal_ImageLink,Snapdeal_Availability,Amazon_Name,Amazon_Synonyms,Amazon_SalesPrice,Amazon_OriginalPrice,Amazon_Availability,Amazon_Rating,Amazon_ProductLink,Amazon_ImageLink,Flipkart_Name,Flipkart_Synonyms,Flipkart_SalesPrice,Flipkart_OriginalPrice,Flipkart_Rating,Flipkart_ProductLink,Flipkart_ImageLink
"Blackberry KEYONE ( 32 MB , 4 GB ) Black & Grey","Blackberry KEYONE | Blackberry KEYONE ( 32 MB , 4 GB) | Blackberry KEYONE Grey",23999,31999.0,3.0,https://www.snapdeal.com/product/blackberry-black-keyone-32-mb/6917529649199044221#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/g/t/d/Blackberry-Black-Grey-KEYONE-32-SDL364907883-1-f19ae.jpeg,Available,,,,,,,,,,,,,,,
"Samsung M02s ( 32GB , 3 GB ) Blue","Samsung M02s | Samsung M02s ( 32GB , 3 GB) | Samsung M02s Blue",9999,10499.0,0.0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/6917529706520383582#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/s/m/Samsung-M02s-32GB-3-GB-SDL291597116-1-d08b2.jpg,Available,,,,,,,,,"SAMSUNG M02s (Blue, 64 GB)",SAMSUNG M02s | SAMSUNG M02s Blue | SAMSUNG M02s  64 GB,10290.0,NAN,4.2,https://www.flipkart.com/samsung-m02s-blue-64-gb/p/itm400a7720950fa?pid=MOBFZJ7KWHHAGUT8&lid=LSTMOBFZJ7KWHHAGUT8BZ0IBH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_28_659&otracker=browse&fm=organic&iid=4792d7b7-2d27-46be-900c-e758e6ac8e70.MOBFZJ7KWHHAGUT8.SEARCH&ppt=None&ppn=None&ssid=ubo08db8ao0000001624017960137,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/mobile/o/c/v/m02s-sb08rswhmz65-samsung-original-imafzg9at5uyrwhh.jpeg?q=70
"Oppo A15s ( 64GB , 4 GB ) Silver","Oppo A15s | Oppo A15s ( 64GB , 4 GB) | Oppo A15s Silver",12990,13990.0,0.0,https://www.snapdeal.com/product/oppo-a15s-64gb-4-gb/5764608177391873536#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/t/Oppo-A15s-64GB-4-GB-SDL807548403-1-58e0e.jpg,Available,,,,,,,,,,,,,,,
"Realme XT ( 64GB , 6 GB ) White","Realme XT | Realme XT ( 64GB , 6 GB) | Realme XT White",17999,18999.0,0.0,https://www.snapdeal.com/product/realme-xt-64gb-6-gb/661600837444#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/i/t/2/Realme-XT-64GB-6-GB-SDL850761714-1-1a9fb.jpeg,Available,,,,,,,,,,,,,,,
"Redmi 9A ( 32GB , 2 GB ) Black","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Black",7749,8999.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/6917529701857746477#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/i/1/Redmi-9A-32GB-2-GB-SDL962065231-1-8c0d1.jpg,Available,Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"['Redmi 9A ', 'Redmi 9A  Midnight Black 2GB RAM 32GB Storage']",6799,8499,Available,4.2,https://www.amazon.co.in/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_26?dchild=1&keywords=mobile&qid=1624268743&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-26,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,,,,,,,
"MI 11x 5G ( 128GB , 6 GB ) Black","MI 11x 5G | MI 11x 5G ( 128GB , 6 GB) | MI 11x 5G Black",30499,33999.0,0.0,https://www.snapdeal.com/product/mi-11x-5g-128gb-6/645527672600#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/u/MI-11x-5G-128GB-6-SDL631274231-1-060d4.jpg,Available,Mi 11X 5G Cosmic Black 6GB RAM 128GB ROM | SD 870 | DisplayMate A+ rated E4 AMOLED | Upto 2000 Additional Exchange,"['Mi', '11X 5G Cosmic Black 6GB RAM 128GB ROM | SD 870 | DisplayMate A+ rated E4 AMOLED | Upto 2000 Additional Exchange']",29999,33999,Available,4.0,https://www.amazon.co.in/11X-Cosmic-Black-128GB-Storage/dp/B085J1QWFV/ref=sr_1_374?dchild=1&keywords=mobile&qid=1624268808&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-374,https://m.media-amazon.com/images/I/71VQXjN6R7S._AC_UY218_.jpg,,,,,,,
"Realme Narzo 30A ( 32GB , 3 GB ) Blue","Realme Narzo 30A | Realme Narzo 30A ( 32GB , 3 GB) | Realme Narzo 30A Blue",9499,9999.0,0.0,https://www.snapdeal.com/product/realme-narzo-30a-32gb-3/639295906541#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/d/Realme-Narzo-30A-32GB-3-SDL263127531-1-6e348.jpg,Available,,,,,,,,,"realme Narzo 30A (Laser Blue, 32 GB)",realme Narzo 30A | realme Narzo 30A Laser Blue | realme Narzo 30A  32 GB,8999.0,9999,4.4,https://www.flipkart.com/realme-narzo-30a-laser-blue-32-gb/p/itma78aeb1d764b5?pid=MOBGYFAXFQYTPYEF&lid=LSTMOBGYFAXFQYTPYEFHEOYGJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=3724793c-f4d9-4169-acc3-7c40c23cb9f7.MOBGYFAXFQYTPYEF.SEARCH&ppt=None&ppn=None&ssid=955fid1hvk0000001624017213520,https://rukminim1.flixcart.com/image/312/312/klgx0280/mobile/h/q/e/narzo-30a-rmx3171-realme-original-imagyhbgh8qfambf.jpeg?q=70
"Samsung Galaxy M11 ( 64GB , 4 GB ) Blue","Samsung Galaxy M11 | Samsung Galaxy M11 ( 64GB , 4 GB) | Samsung Galaxy M11 Blue",11003,14999.0,3.0,https://www.snapdeal.com/product/samsung-galaxy-m11-64gb-4/655889303670#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/r/6/Samsung-Galaxy-M11-64GB-4-SDL630399095-1-1b2a0.jpeg,Available,,,,,,,,,"SAMSUNG Galaxy M12 (Blue, 64 GB)",SAMSUNG Galaxy M12 | SAMSUNG Galaxy M12 Blue | SAMSUNG Galaxy M12  64 GB,10999.0,NAN,4.2,https://www.flipkart.com/samsung-galaxy-m12-blue-64-gb/p/itm062b6548d8904?pid=MOBGFG8GCPEGKGF4&lid=LSTMOBGFG8GCPEGKGF4ZDZC3B&marketplace=FLIPKART&store=tyy%2F4io&srno=b_13_310&otracker=browse&fm=organic&iid=05d83aa1-e8ea-4e9a-9073-b220490edac9.MOBGFG8GCPEGKGF4.SEARCH&ppt=None&ppn=None&ssid=h5rz5p7xps0000001624017547820,https://rukminim1.flixcart.com/image/312/312/kmjhw280/mobile/h/k/v/galaxy-m12-galaxy-m12-samsung-original-imagffy3wzrmy7ep.jpeg?q=70
"Redmi 6A ( 16GB , 2 GB ) Black","Redmi 6A | Redmi 6A ( 16GB , 2 GB) | Redmi 6A Black",7004,7399.0,0.0,https://www.snapdeal.com/product/redmi-6a-16gb-2-gb/674659825952#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/c/Redmi-6A-16GB-2-GB-SDL994214561-1-b151a.jpg,Available,"Redmi 4 (Black, 16 GB)","['Redmi 4 ', 'Redmi 4 Black', 'Redmi 4  16 GB']",6999,7499,Available,4.1,https://www.amazon.co.in/Redmi-4-Black-16-GB/dp/B01MT0QKAG/ref=sr_1_1350?dchild=1&keywords=mobile&qid=1624268983&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-1350,https://m.media-amazon.com/images/I/61nzk9MGSlL._AC_UY218_.jpg,,,,,,,
"Samsung Galaxy M31 ( 128GB , 6 GB ) Black","Samsung Galaxy M31 | Samsung Galaxy M31 ( 128GB , 6 GB) | Samsung Galaxy M31 Black",18003,19999.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg,Available,"Samsung Galaxy A7 (Black, 6GB RAM and 128GB Storage)","['Samsung Galaxy A7 ', 'Samsung Galaxy A7 Black', 'Samsung Galaxy A7  6GB RAM and 128GB Storage']",Unavailable,Unavailable,Unavailable,4.2,https://www.amazon.co.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07K2HZWB3/ref=sr_1_1664?dchild=1&keywords=mobile&qid=1624269038&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-1664,https://m.media-amazon.com/images/I/61fM-iYGdYL._AC_UY218_.jpg,"SAMSUNG Galaxy M31 (Space Black, 128 GB)",SAMSUNG Galaxy M31 | SAMSUNG Galaxy M31 Space Black | SAMSUNG Galaxy M31  128 GB,16354.0,17499,4.3,https://www.flipkart.com/samsung-galaxy-m31-space-black-128-gb/p/itmeb29fb2c00580?pid=MOBFPNPS6QGTKBQB&lid=LSTMOBFPNPS6QGTKBQBWLJMAO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_12_279&otracker=browse&fm=organic&iid=baec1ac4-75d4-4896-9924-72bcff678314.MOBFPNPS6QGTKBQB.SEARCH&ppt=None&ppn=None&ssid=2os3pvas3k0000001624017519928,https://rukminim1.flixcart.com/image/312/312/k7f34i80/mobile/k/g/h/samsung-galaxy-m31-sm-m315fzkgins-original-imafpnrzzt9krr9a.jpeg?q=70
"Samsung Galaxy M31 ( 128GB , 6 GB ) Black","Samsung Galaxy M31 | Samsung Galaxy M31 ( 128GB , 6 GB) | Samsung Galaxy M31 Black",18003,19999.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg,Available,"Samsung Galaxy A7 (Black, 6GB RAM and 128GB Storage)","['Samsung Galaxy A7 ', 'Samsung Galaxy A7 Black', 'Samsung Galaxy A7  6GB RAM and 128GB Storage']",Unavailable,Unavailable,Unavailable,4.2,https://www.amazon.co.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07K2HZWB3/ref=sr_1_1664?dchild=1&keywords=mobile&qid=1624269038&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-1664,https://m.media-amazon.com/images/I/61fM-iYGdYL._AC_UY218_.jpg,"SAMSUNG Galaxy M31 (Space Black, 128 GB)",SAMSUNG Galaxy M31 | SAMSUNG Galaxy M31 Space Black | SAMSUNG Galaxy M31  128 GB,18999.0,NAN,4.3,https://www.flipkart.com/samsung-galaxy-m31-space-black-128-gb/p/itmed6043337ac0e?pid=MOBFUYQTCWZVMGEK&lid=LSTMOBFUYQTCWZVMGEK7JJWDY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_32_750&otracker=browse&fm=organic&iid=bd22d527-818f-4818-8baa-5ab0fbba2e1a.MOBFUYQTCWZVMGEK.SEARCH&ppt=None&ppn=None&ssid=jlj1uty1c00000001624018069643,https://rukminim1.flixcart.com/image/312/312/ke8uv0w0/mobile/g/e/k/samsung-galaxy-m31-sm-m315fzkhins-original-imafuywtj9yfjjhx.jpeg?q=70
"Redmi 9A ( 32GB , 2 GB ) Green","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Green",7899,8499.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/8070451206464593453#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/o/i/Redmi-9A-32GB-2-GB-SDL880361485-1-8764b.jpeg,Available,,,,,,,,,,,,,,,
"Gionee s11 ( 32GB , 4 GB ) Black","Gionee s11 | Gionee s11 ( 32GB , 4 GB) | Gionee s11 Black",7000,15399.0,0.0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png,Available,Gionee P5W (Black),"['Gionee P5W ', 'Gionee P5W  Black']",Unavailable,Unavailable,Unavailable,3.3,https://www.amazon.co.in/Gionee-P5W-Black/dp/B01B4VFH6U/ref=sr_1_950?dchild=1&keywords=mobile&qid=1624268911&refinements=p_89%3AASUS%7CAlcatel%7CApple%7CBlackBerry%7CGionee%7CGoogle%7CHTC%7CHonor%7CHuawei%7CIKALL%7CIntex%7CLG%7CLava%7CLenovo%7CMI%7CMicromax%7CMicrosoft%7CMoto%7CMotorola%7CNokia%7COnePlus%7COppo%7CPanasonic%7CRedmi%7CSHIVANSH%7CSamsung%7CSnexian%7CTecno%7CVivo%7CXiaomi%7CXifo%7Citel%7Crealme&rnid=3837712031&s=electronics&sr=1-950,https://m.media-amazon.com/images/I/61W+8zzfCML._AC_UY218_.jpg,,,,,,,
